,name,year,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats,selling_price
8533,BMW 5 Series 525d Sedan,2013,56000,Diesel,Automatic,Second Owner,16.73 kmpl,2993 CC,218 bhp,5.0,3350000
2945,Tata Tiago 1.2 Revotron XT,2018,35000,Petrol,Manual,Second Owner,23.84 kmpl,1199 CC,84 bhp,5.0,409999
2627,Tata Indigo CS eVX,2012,120000,Diesel,Manual,First Owner,25.0 kmpl,1396 CC,69 bhp,5.0,300000
13176,Maruti Celerio ZDi,2015,42150,Diesel,Manual,First Owner,27.62 kmpl,793 CC,47 bhp,5.0,360000
12352,Ford Endeavour 3.2 Trend AT 4X4,2016,43000,Diesel,Automatic,First Owner,10.91 kmpl,3198 CC,197.2 bhp,7.0,2650000
4837,Mahindra KUV 100 mFALCON D75 K6,2016,130000,Diesel,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,6.0,400000
13177,Hyundai EON Era Plus,2015,30158,Petrol,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,5.0,305000
8552,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,2017,23163,Petrol,Manual,First Owner,15.29 kmpl,1591 CC,121.3 bhp,5.0,1203000
355,Hyundai i10 Sportz,2009,60000,Petrol,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0,215000
11903,Maruti Wagon R VXI 1.2,2015,49818,Petrol,Manual,First Owner,21.5 kmpl,1197 CC,81.80 bhp,5.0,411000
1350,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,70000,Diesel,Manual,Third Owner,21.9 kmpl,1396 CC,88.76 bhp,5.0,325000
3663,Hyundai EON Era Plus,2014,70000,Petrol,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,5.0,170000
609,Mahindra TUV 300 T8,2017,126000,Diesel,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,7.0,655000
11203,Tata Tiago Wizz 1.05 Revotorq,2017,53000,Diesel,Manual,Second Owner,27.28 kmpl,1047 CC,69 bhp,5.0,500000
1008,Ford Figo Diesel Titanium,2012,81632,Diesel,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,5.0,425000
12374,Maruti Swift ZDi,2014,98000,Diesel,Manual,First Owner,22.9 kmpl,1248 CC,74 bhp,5.0,610000
13587,Maruti Wagon R VXI,2017,35362,Petrol,Manual,First Owner,22.5 kmpl,998 CC,67.04 bhp,5.0,385000
7073,Hyundai i20 1.4 CRDi Asta,2012,120000,Diesel,Manual,Second Owner,23.0 kmpl,1396 CC,90 bhp,5.0,300000
7710,Land Rover Discovery Sport TD4 SE,2019,21000,Diesel,Automatic,First Owner,12.83 kmpl,1999 CC,148.31 bhp,7.0,4500000
112,Hyundai Verna 1.6 SX,2013,150000,Diesel,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,5.0,522000
7654,Mahindra Scorpio S5 BSIV,2019,60000,Diesel,Manual,First Owner,16.36 kmpl,2179 CC,120 bhp,7.0,1000000
9911,Hyundai Grand i10 1.2 Kappa Asta,2016,43041,Petrol,Manual,Second Owner,18.9 kmpl,1197 CC,81.86 bhp,5.0,601000
11173,Volkswagen Polo Diesel Comfortline 1.2L,2012,45000,Diesel,Manual,Second Owner,22.07 kmpl,1199 CC,73.9 bhp,5.0,299000
8624,Maruti Zen LXi BSII,2004,29000,Petrol,Manual,First Owner,17.3 kmpl,993 CC,60 bhp,5.0,160000
7817,Mahindra XUV500 W8 4WD,2012,200000,Diesel,Manual,Fourth & Above Owner,15.1 kmpl,2179 CC,140 bhp,7.0,500000
10295,Mahindra Scorpio SLE BSIII,2010,96813,Diesel,Manual,First Owner,12.05 kmpl,2179 CC,120 bhp,8.0,550000
3598,Datsun GO T Option,2020,10000,Petrol,Manual,First Owner,19.02 kmpl,1198 CC,67.05 bhp,5.0,450000
11765,Hyundai i20 2015-2017 Sportz AT 1.4,2012,56200,Petrol,Automatic,First Owner,15.0 kmpl,1396 CC,98.6 bhp,5.0,385000
4640,Maruti Wagon R VXI Optional,2016,30000,Petrol,Manual,Second Owner,20.51 kmpl,998 CC,67.04 bhp,5.0,340000
6346,Mahindra Xylo D2,2009,100000,Diesel,Manual,Second Owner,13.0 kmpl,2489 CC,95 bhp,8.0,121000
9128,Renault KWID RXT Optional,2018,1900,Petrol,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5.0,445000
3277,Honda Amaze S i-DTEC,2016,80000,Diesel,Manual,Second Owner,25.8 kmpl,1498 CC,98.6 bhp,5.0,500000
3990,Mahindra Scorpio SLE BS IV,2012,85472,Diesel,Manual,First Owner,12.05 kmpl,2179 CC,120 bhp,8.0,480000
1649,Tata Tiago 1.05 Revotorq XE,2017,120000,Diesel,Manual,First Owner,27.28 kmpl,1047 CC,69 bhp,5.0,325000
433,Maruti Swift Dzire ZDI Plus,2017,50000,Diesel,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5.0,900000
4898,Ford Figo Diesel EXI,2012,156040,Diesel,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,5.0,250000
9680,Volkswagen Polo 1.2 MPI Highline,2014,72465,Petrol,Manual,First Owner,16.47 kmpl,1198 CC,74 bhp,5.0,590000
479,Maruti A-Star Vxi,2010,65000,Petrol,Manual,Second Owner,19.0 kmpl,998 CC,66.1 bhp,5.0,200000
5830,Maruti Ritz ZDi,2013,100000,Diesel,Manual,Second Owner,23.2 kmpl,1248 CC,73.94 bhp,5.0,300000
4613,Tata Indigo LX,2004,60000,Diesel,Manual,Third Owner,16.1 kmpl,1405 CC,70 bhp,5.0,100000
9769,Skoda Laura Ambiente 2.0 TDI CR AT,2011,94821,Diesel,Automatic,First Owner,20.0 kmpl,1968 CC,138.1 bhp,5.0,675000
5322,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2009,285000,Diesel,Manual,Third Owner,12.8 kmpl,2494 CC,102 bhp,8.0,530000
2618,Mahindra XUV500 W9 BSIV,2019,18000,Diesel,Manual,First Owner,15.1 kmpl,2179 CC,152.87 bhp,7.0,1575000
3127,Maruti Alto LX BSIII,2009,90000,Petrol,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,170000
10665,Honda City i DTEC VX Option,2014,71000,Diesel,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,5.0,745000
6872,Datsun RediGO 1.0 S,2018,7000,Petrol,Manual,First Owner,22.5 kmpl,999 CC,67 bhp,5.0,300000
9444,Fiat Linea Classic Plus 1.3 Multijet,2013,86000,Diesel,Manual,First Owner,19.5 kmpl,1248 CC,75 bhp,5.0,250000
7741,Hyundai EON Era Plus,2013,20000,Petrol,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5.0,275000
5035,Mahindra XUV500 W10 AWD,2019,10000,Diesel,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,7.0,1800000
8671,Mercedes-Benz New C-Class Progressive C 200,2019,13190,Petrol,Automatic,Second Owner,11.9 kmpl,1950 CC,181.43 bhp,5.0,3899000
894,Tata Indigo CS LX (TDI) BS III,2012,120000,Diesel,Manual,Second Owner,19.09 kmpl,1396 CC,69 bhp,5.0,204999
5578,Volkswagen Passat Highline DSG S,2008,120000,Diesel,Automatic,First Owner,14.3 kmpl,1968 CC,140 bhp,5.0,585000
11342,Honda Amaze S i-Vtech,2017,32005,Petrol,Manual,Second Owner,18.0 kmpl,1198 CC,86.7 bhp,5.0,425000
5446,Maruti Swift 1.3 ZXI,2008,90000,Petrol,Manual,First Owner,,,,,200000
11377,Hyundai Verna 1.6 SX VTVT,2016,51000,Petrol,Manual,First Owner,17.01 kmpl,1591 CC,121.3 bhp,5.0,650000
39,Tata Safari DICOR 2.2 LX 4x2,2011,60000,Diesel,Manual,Second Owner,13.93 kmpl,2179 CC,138.03 bhp,7.0,425000
8817,Maruti Alto K10 VXI AGS,2017,25058,Petrol,Automatic,Fourth & Above Owner,24.07 kmpl,998 CC,67.1 bhp,5.0,395000
11736,Hyundai Creta 1.4 E Plus Diesel,2017,35000,Diesel,Manual,First Owner,21.38 kmpl,1396 CC,88.7 bhp,5.0,990000
13876,Hyundai Grand i10 CRDi Sportz,2014,65000,Diesel,Manual,First Owner,24.0 kmpl,1120 CC,70 bhp,5.0,399000
1345,Renault Duster 110PS Diesel RxZ,2012,105000,Diesel,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,5.0,350000
3054,Maruti Omni E MPI STD BS IV,2016,80000,Petrol,Manual,Second Owner,16.8 kmpl,796 CC,34.2 bhp,8.0,190000
4820,Maruti Wagon R LXI,2013,58343,Petrol,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,5.0,225000
12094,Nissan Micra Diesel XL,2014,100000,Diesel,Manual,First Owner,23.08 kmpl,1461 CC,63.1 bhp,5.0,300000
10711,BMW X1 sDrive 20d Exclusive,2012,65148,Diesel,Automatic,Second Owner,15.06 kmpl,1995 CC,177 bhp,5.0,1275000
13250,Honda Jazz 1.2 V CVT i VTEC,2016,30534,Petrol,Automatic,First Owner,19.0 kmpl,1199 CC,88.7 bhp,5.0,742000
1205,Mahindra Bolero 2011-2019 ZLX,2012,165000,Diesel,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,7.0,450000
3634,Hyundai Grand i10 Sportz,2016,50000,Petrol,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,5.0,500000
10847,Volkswagen CrossPolo 1.5 TDI,2016,54727,Diesel,Manual,First Owner,20.14 kmpl,1498 CC,88.73 bhp,5.0,663000
10846,Honda Jazz 1.2 SV i VTEC,2015,23000,Petrol,Manual,First Owner,18.7 kmpl,1199 CC,88.7 bhp,5.0,560000
11019,Toyota Innova 2.5 VX (Diesel) 8 Seater,2011,150000,Diesel,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,8.0,695000
5072,Chevrolet Spark 1.0 LT,2011,70000,Petrol,Manual,First Owner,18.0 kmpl,995 CC,62 bhp,5.0,165000
10644,Maruti Swift Dzire ZDI,2012,56121,Diesel,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5.0,425000
12618,BMW 5 Series 530i Sedan,2010,24000,Petrol,Automatic,First Owner,10.6 kmpl,2996 CC,258 bhp,5.0,875000
12842,Honda Civic 2006-2010 1.8 S MT,2009,70000,Petrol,Manual,First Owner,13.5 kmpl,1799 CC,130 bhp,5.0,425000
3799,Tata Indica Vista Terra Quadrajet 1.3L,2010,100000,Diesel,Manual,Second Owner,18.0 kmpl,1248 CC,75 bhp,5.0,111000
12688,Maruti Wagon R VXI,2014,43628,Petrol,Manual,Third Owner,22.5 kmpl,998 CC,67.04 bhp,5.0,316000
13450,BMW 3 Series 320d Luxury Line,2015,47000,Diesel,Automatic,First Owner,22.69 kmpl,1995 CC,190 bhp,5.0,2950000
8328,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,20000,Diesel,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0,900000
2085,Tata Sumo EX 10/7 Str BSIII,2012,67500,Diesel,Manual,First Owner,12.2 kmpl,1948 CC,68 bhp,10.0,200000
53,Maruti Ciaz Zeta,2018,64000,Petrol,Manual,First Owner,20.65 kmpl,1462 CC,103.25 bhp,5.0,850000
4199,Nissan Kicks XL BSIV,2019,14317,Petrol,Manual,First Owner,14.23 kmpl,1498 CC,104.55 bhp,5.0,860000
10226,Porsche Cayenne Turbo S,2010,35000,Petrol,Automatic,Fourth & Above Owner,11.9 kmpl,4806 CC,550 bhp,5.0,3200000
6676,Hyundai Xcent 1.2 VTVT S,2017,25000,Petrol,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,5.0,500000
1038,Toyota Fortuner 4x2 Manual,2014,150000,Diesel,Manual,First Owner,13.0 kmpl,2982 CC,168.5 bhp,7.0,1380000
8965,Mahindra Xylo H4,2016,215000,Diesel,Manual,First Owner,14.02 kmpl,2179 CC,118.3 bhp,7.0,750000
12000,Ford Ecosport 1.5 DV5 MT Titanium Optional,2015,45000,Diesel,Manual,Second Owner,22.7 kmpl,1498 CC,89.84 bhp,5.0,890000
5107,Maruti Wagon R VXI BS IV,2015,40000,Petrol,Manual,Second Owner,20.51 kmpl,998 CC,67.04 bhp,5.0,350000
6139,Maruti Celerio ZXI,2015,49907,Petrol,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,5.0,400000
3130,Mahindra Xylo D2,2011,120000,Diesel,Manual,Second Owner,13.0 kmpl,2489 CC,95 bhp,8.0,180000
1734,Maruti Omni 8 Seater BSII,2012,120000,Petrol,Manual,Second Owner,19.7 kmpl,796 CC,35 bhp,8.0,80000
38,Datsun GO D,2016,42000,Petrol,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,5.0,150000
10056,Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,70000,Diesel,Automatic,Second Owner,17.11 kmpl,1968 CC,174.33 bhp,5.0,1800000
5893,Toyota Corolla DX,2005,96000,Petrol,Manual,Second Owner,13.4 kmpl,1794 CC,125 bhp,5.0,275000
3402,Mahindra Scorpio VLS AT 2.2 mHAWK,2009,110000,Diesel,Automatic,Second Owner,11.79 kmpl,2179 CC,120 bhp,8.0,365000
4042,Tata Indica V2 Turbomax DLS BS IV,2012,90000,Diesel,Manual,Second Owner,19.0 kmpl,1405 CC,71 bhp,5.0,275000
13711,Hyundai Elantra CRDi SX,2018,35000,Diesel,Manual,Second Owner,22.7 kmpl,1582 CC,126.2 bhp,5.0,1500000
2144,Maruti Zen LXI,2001,10000,Petrol,Manual,First Owner,17.3 kmpl,993 CC,60 bhp,5.0,30000
3371,Chevrolet Sail 1.2 LS ABS,2016,30000,Petrol,Manual,First Owner,18.2 kmpl,1199 CC,82.4 bhp,5.0,400000
7346,Hyundai i20 Magna Optional 1.4 CRDi,2013,144000,Diesel,Manual,First Owner,21.9 kmpl,1396 CC,88.8 bhp,5.0,360000
11490,Hyundai i10 Magna,2014,51000,Petrol,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0,375000
7951,Maruti S-Presso VXI AT,2019,5000,Petrol,Automatic,First Owner,21.7 kmpl,998 CC,67 bhp,5.0,475000
6627,Maruti 800 AC,2007,73257,Petrol,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,4.0,45000
11457,Chevrolet Beat Diesel LT,2012,42706,Diesel,Manual,Second Owner,25.44 kmpl,936 CC,56.3 bhp,5.0,240000
8389,Hyundai Santro Xing XL,2006,99000,Petrol,Manual,Second Owner,12.8 kmpl,1086 CC,63 bhp,5.0,175000
2410,Hyundai i10 Sportz,2010,94000,Petrol,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0,210000
